"Сервис Яндекса. Используется на специальном счетчике вашей организации в Бизнесе","Организация. Используется на специальном счетчике вашей организации в Бизнесе","Целевое событие. Используется на специальном счетчике вашей организации в Бизнесе","Количество событий на Яндексе","Визиты","Посетители с целевыми событиями","Количество событий на Яндексе на посетителя"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Перейти на сайт","70","58","54","1.2962962962962963"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","69","57","50","1.38"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","65","53","44","1.4772727272727273"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","64","36","28","2.2857142857142856"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","62","33","32","1.9375"
"Яндекс Поиск: веб версия","204748921771","Клик на «Позвонить»","60","39","38","1.5789473684210527"
"Сайт в Яндекс Бизнесе","204748921771","view_org_content","55","35","35","1.5714285714285714"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Построить маршрут","52","26","26","2.0"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","51","45","43","1.186046511627907"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Призыв к действию","45","27","27","1.6666666666666667"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Призыв к действию","45","31","26","1.7307692307692308"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","social-network","39","33","32","1.21875"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","37","31","29","1.2758620689655173"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Клик на «Позвонить»","35","12","10","3.5"
"Яндекс Карты: веб версия","204748921771","Перейти на сайт","33","32","30","1.1"
"Яндекс Навигатор: мобильное приложение (Android)","204748921771","Построить маршрут","32","31","29","1.103448275862069"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","32","28","28","1.1428571428571428"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Клик на «Позвонить»","31","23","17","1.8235294117647058"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","28","9","6","4.666666666666667"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","27","26","20","1.35"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","26","17","10","2.6"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Призыв к действию","26","21","20","1.3"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","24","17","16","1.5"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Перейти на сайт","23","16","16","1.4375"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","23","21","21","1.0952380952380953"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","22","15","14","1.5714285714285714"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","21","8","8","2.625"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","21","14","12","1.75"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","20","18","17","1.1764705882352942"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Кнопка в историях","19","16","15","1.2666666666666666"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти в Whatsapp","19","16","16","1.1875"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Сохранить в избранное","17","17","17","1.0"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Призыв к действию","16","10","10","1.6"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Призыв к действию","15","10","10","1.5"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","15","10","10","1.5"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","15","14","13","1.1538461538461537"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","14","12","12","1.1666666666666667"
"Яндекс Поиск: веб версия","204748921771","Построить маршрут","13","10","9","1.4444444444444444"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","13","11","11","1.1818181818181819"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Призыв к действию","12","12","12","1.0"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","12","8","7","1.7142857142857142"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","12","10","10","1.2"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","11","10","10","1.1"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Призыв к действию","9","7","6","1.5"
"Яндекс Навигатор: мобильное приложение (Android)","204748921771","Перейти на сайт","9","5","5","1.8"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","9","8","8","1.125"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Кнопка в историях","8","2","2","4.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Сохранить в избранное","8","8","8","1.0"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","8","8","5","1.6"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Сохранить в избранное","7","7","7","1.0"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Сохранить в избранное","7","7","7","1.0"
"Яндекс Навигатор: мобильное приложение (Android)","204748921771","Клик на «Позвонить»","7","4","4","1.75"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","7","6","6","1.1666666666666667"
"Яндекс Карты: веб версия","204748921771","Клик на «Позвонить»","7","7","7","1.0"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на поделиться","7","3","3","2.3333333333333335"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Перейти в Whatsapp","6","6","6","1.0"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти в Whatsapp","6","6","6","1.0"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Кнопка в историях","6","5","5","1.2"
"Яндекс Карты: веб версия","204748921771","Построить маршрут","6","6","6","1.0"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Кнопка в историях","5","1","1","5.0"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Сохранить в избранное","5","5","5","1.0"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на вызов такси","5","5","5","1.0"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Перейти в Whatsapp","5","1","1","5.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","social-network","5","3","3","1.6666666666666667"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Записаться онлайн","5","2","2","2.5"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Клик на вызов такси","4","4","4","1.0"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Посмотреть во Вконтакте","4","4","4","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Кнопка в историях","4","3","3","1.3333333333333333"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","4","3","3","1.3333333333333333"
"ru.yandex.ytaxi","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","4","4","4","1.0"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на поделиться","4","4","4","1.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Кнопка в историях","4","2","2","2.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти в Whatsapp","4","1","1","4.0"
"Сайт в Яндекс Бизнесе","204748921771","Призыв к действию","4","4","4","1.0"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","4","4","4","1.0"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Призыв к действию","3","3","3","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Призыв к действию","3","2","2","1.5"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Кнопка в историях","3","3","3","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Сохранить в избранное","3","3","3","1.0"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","3","3","2","1.5"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Призыв к действию","3","2","2","1.5"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Кнопка в историях","3","2","2","1.5"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти в Whatsapp","3","1","1","3.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на поделиться","3","3","3","1.0"
"com.yango.maps.ios","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","2","1","1","2.0"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Посмотреть во Вконтакте","2","2","2","1.0"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти в Whatsapp","2","2","1","2.0"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Кнопка в историях","2","2","2","1.0"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти в Whatsapp","2","2","2","1.0"
"Яндекс Карты: веб версия","204748921771","Клик на поделиться","2","2","2","1.0"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Сохранить в избранное","2","1","1","2.0"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Сохранить в избранное","2","2","2","1.0"
"Яндекс Поиск: веб версия","204748921771","Клик на поделиться","2","2","2","1.0"
"Яндекс Поиск: веб версия","204748921771","Посмотреть во Вконтакте","2","2","2","1.0"
"Яндекс Поиск: веб версия","204748921771","Перейти в Whatsapp","2","1","1","2.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Записаться онлайн","2","2","2","1.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Кнопка в историях","2","1","1","2.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти в Whatsapp","2","1","1","2.0"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Сохранить в избранное","1","1","1","1.0"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Перейти в Whatsapp","1","1","1","1.0"
"ru.yandex.taxi","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","1","1","1","1.0"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на вызов такси","1","1","1","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на вызов такси","1","1","1","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Кнопка в историях","1","1","1","1.0"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти в Whatsapp","1","1","1","1.0"
"Яндекс Навигатор: мобильное приложение (Android)","204748921771","Кнопка в историях","1","1","1","1.0"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Призыв к действию","1","1","1","1.0"
"Яндекс Карты: веб версия","204748921771","Сохранить в избранное","1","1","1","1.0"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на поделиться","1","1","1","1.0"
"Сайт в Яндекс Бизнесе","204748921771","Клик на «Позвонить»","1","1","1","1.0"
"Сайт в Яндекс Бизнесе","204748921771","Построить маршрут","1","1","1","1.0"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти в Whatsapp","1","1","1","1.0"
